ID,Type,Timestamp,Velocity,Distance,Duration,Peak Velocity,Avg Velocity,Peak/Avg Ratio,Acceleration,Avg Jerk,Max Jerk,Initial Velocity,Peak Acceleration,Velocity Variance,Velocity CV,Distance/Duration Ratio,Straightness %,Pause Before Release,Y Movement
1,Flick,2025-10-24T18:29:19.524Z,3,164,92,3,2,1.89,1.08,0.2,0.5,1,0.8,0.9,0.49,1.79,78,1.78,46
2,Flick,2025-10-24T18:29:20.836Z,1224,152,124,1238,141,8.75,1.26,104.3,1131.9,13,1131.3,305.6,2.16,1.22,71,4.75,62
3,Flick,2025-10-24T18:29:21.994Z,95,106,90,89,50,1.80,1.09,9.6,18.7,16,18.1,24.1,0.49,1.18,76,1.72,33
4,Flick,2025-10-24T18:29:23.209Z,110,136,72,98,53,1.85,0.61,5.1,14.8,15,14.6,27.3,0.51,1.89,68,1.85,63
5,Flick,2025-10-24T18:29:24.314Z,104,111,82,105,59,1.78,0.74,21.4,40.3,11,39.7,33.5,0.57,1.36,77,1.78,33
6,Flick,2025-10-24T18:29:25.408Z,99,105,89,93,59,1.59,1.60,7.3,12.8,19,22.0,26.0,0.44,1.18,79,1.54,29
7,Flick,2025-10-24T18:29:26.649Z,76,93,81,69,38,1.81,1.36,8.3,17.9,7,17.7,19.8,0.52,1.14,79,1.81,24
8,Flick,2025-10-24T18:29:27.715Z,95,99,72,87,50,1.76,0.55,7.8,16.2,15,18.8,23.5,0.47,1.38,82,1.76,22
9,Flick,2025-10-24T18:29:28.806Z,84,90,78,82,48,1.70,1.54,12.8,17.8,16,17.4,23.0,0.47,1.15,87,1.70,14
10,Flick,2025-10-24T18:29:29.948Z,1075,148,123,1194,150,7.99,1.31,98.7,1065.9,21,1071.9,291.5,1.95,1.20,74,4.40,53
11,Flick,2025-10-24T18:29:30.922Z,108,102,88,105,62,1.69,0.76,10.7,19.6,26,19.1,27.2,0.44,1.16,81,1.63,23
12,Flick,2025-10-24T18:29:31.971Z,100,102,98,96,57,1.68,1.52,5.3,19.2,19,19.0,26.6,0.46,1.04,80,1.61,26
13,Flick,2025-10-24T18:29:33.013Z,87,94,98,81,49,1.67,1.00,5.8,14.1,15,13.7,21.6,0.44,0.96,74,1.60,32
14,Flick,2025-10-24T18:29:34.011Z,124,121,105,119,78,1.53,1.24,7.4,23.3,30,22.6,33.1,0.43,1.16,74,1.50,44
15,Flick,2025-10-24T18:29:34.961Z,96,95,90,89,58,1.55,1.11,10.8,18.4,19,18.1,25.4,0.44,1.06,80,1.55,24
16,Glide,2025-10-24T18:29:36.136Z,70,80,80,70,40,1.75,2.31,10.9,16.9,10,16.4,21.0,0.52,1.00,88,1.75,11
17,Glide,2025-10-24T18:30:03.926Z,10,285,63,7,5,1.53,2.39,0.6,1.6,1,1.9,2.3,0.48,4.52,82,1.53,62
18,Glide,2025-10-24T18:30:05.123Z,208,254,57,175,92,1.91,0.83,23.7,39.2,39,65.5,43.2,0.47,4.46,94,1.91,17
19,Glide,2025-10-24T18:30:06.102Z,232,277,69,234,123,1.90,0.98,49.1,70.0,32,68.6,63.8,0.52,4.02,91,1.90,26
20,Glide,2025-10-24T18:30:07.181Z,310,335,64,255,169,1.50,0.62,37.7,75.4,70,74.5,70.5,0.42,5.24,91,1.49,33
21,Glide,2025-10-24T18:30:08.146Z,269,255,74,222,131,1.69,1.25,9.2,38.8,30,38.7,69.2,0.53,3.44,90,1.68,27
22,Glide,2025-10-24T18:30:09.051Z,267,269,91,230,104,2.21,7.50,12.5,41.5,8,41.4,75.0,0.72,2.95,91,2.21,27
23,Glide,2025-10-24T18:30:09.920Z,406,358,73,336,196,1.71,1.27,32.4,58.4,60,89.4,109.3,0.56,4.90,93,1.69,28
24,Glide,2025-10-24T18:30:11.016Z,172,231,64,174,79,2.21,0.93,37.6,64.0,21,82.1,57.1,0.73,3.61,88,2.21,31
25,Glide,2025-10-24T18:30:11.815Z,361,284,74,278,164,1.70,1.13,26.1,50.0,53,73.4,89.4,0.55,3.84,93,1.68,23
26,Glide,2025-10-24T18:30:12.706Z,306,259,73,226,124,1.82,1.35,32.8,78.2,26,77.3,72.3,0.58,3.54,87,1.81,37
27,Glide,2025-10-24T18:30:13.747Z,292,314,73,259,126,2.06,0.85,23.3,37.5,34,72.2,74.5,0.59,4.31,96,2.06,13
28,Glide,2025-10-24T18:30:14.746Z,253,249,71,246,106,2.32,1.62,40.7,83.7,9,82.7,77.6,0.73,3.51,94,2.32,17
29,Glide,2025-10-24T18:30:15.690Z,343,317,83,335,169,1.99,1.57,28.6,93.7,38,91.9,95.2,0.56,3.82,83,1.99,64
30,Glide,2025-10-24T18:30:16.596Z,266,233,65,192,120,1.60,1.50,10.6,33.5,25,36.2,60.2,0.50,3.58,95,1.58,11
