ID,Type,Timestamp,Velocity,Distance,Duration,Peak Velocity,Avg Velocity,Peak/Avg Ratio,Acceleration,Avg Jerk,Max Jerk,Initial Velocity,Peak Acceleration,Velocity Variance,Velocity CV,Distance/Duration Ratio,Straightness %,Pause Before Release,Y Movement
1,Flick,2025-10-24T13:33:40.738Z,1,77,56,1,0,1.51,0.29,0.1,0.1,0,0.2,0.1,0.28,1.37,73,1.51,28
2,Flick,2025-10-24T13:33:41.055Z,189,67,52,173,126,1.37,1.96,25.5,42.1,41,61.4,51.1,0.41,1.28,74,1.34,24
3,Flick,2025-10-24T13:33:41.454Z,178,68,55,165,111,1.49,1.37,5.5,10.4,39,39.2,42.5,0.38,1.23,76,1.49,21
4,Flick,2025-10-24T13:33:41.754Z,171,55,47,176,98,1.80,2.82,39.8,65.4,22,63.0,50.8,0.52,1.18,69,1.80,25
5,Flick,2025-10-24T13:33:42.082Z,186,57,59,168,106,1.59,2.72,23.9,43.6,24,48.9,46.0,0.44,0.97,72,1.59,22
6,Flick,2025-10-24T13:33:42.399Z,194,59,46,191,106,1.81,0.77,37.8,60.9,38,69.0,63.9,0.60,1.28,70,1.81,26
7,Flick,2025-10-24T13:33:42.771Z,167,59,47,161,108,1.49,1.21,5.7,16.2,45,41.5,40.2,0.37,1.26,70,1.49,25
8,Flick,2025-10-24T13:33:43.081Z,162,50,41,142,81,1.75,2.95,72.6,85.5,33,84.5,49.0,0.61,1.21,69,1.75,23
9,Flick,2025-10-24T13:33:43.445Z,169,58,31,148,124,1.19,0.38,3.4,3.4,98,26.3,20.1,0.16,1.88,75,1.19,19
10,Flick,2025-10-24T13:33:43.772Z,153,47,50,151,77,1.95,0.94,32.0,44.3,22,60.2,52.8,0.69,0.95,78,1.95,14
11,Flick,2025-10-24T13:33:44.120Z,158,59,48,161,103,1.57,1.96,7.1,15.3,31,46.1,45.4,0.44,1.22,74,1.57,21
12,Flick,2025-10-24T13:33:44.418Z,185,53,48,164,104,1.58,4.04,12.5,21.5,19,58.8,51.3,0.49,1.10,68,1.58,25
13,Flick,2025-10-24T13:33:44.744Z,164,50,47,144,84,1.71,1.98,45.6,57.2,22,55.6,43.4,0.52,1.06,78,1.71,14
14,Flick,2025-10-24T13:33:45.052Z,155,50,36,159,97,1.63,1.11,26.9,44.9,63,52.6,39.4,0.40,1.40,77,1.63,15
15,Flick,2025-10-24T13:33:45.394Z,124,40,31,63,49,1.30,1.99,43.7,43.7,21,42.3,19.6,0.40,1.28,85,1.27,7
16,Glide,2025-10-24T13:33:45.704Z,154,46,50,118,78,1.52,1.99,11.8,11.8,33,48.3,34.7,0.45,0.92,90,1.52,5
17,Glide,2025-10-24T13:33:52.570Z,27,172,98,23,13,1.83,1.08,1.7,4.7,4,4.7,6.5,0.51,1.75,86,1.73,27
18,Glide,2025-10-24T13:33:53.595Z,116,114,53,103,61,1.68,1.22,17.9,31.4,19,31.1,29.2,0.48,2.14,94,1.68,7
19,Glide,2025-10-24T13:33:54.758Z,101,116,56,87,54,1.63,1.31,1.8,5.3,18,17.4,23.2,0.43,2.07,85,1.63,20
20,Glide,2025-10-24T13:33:56.184Z,75,108,58,64,36,1.76,0.88,9.8,19.0,12,18.9,18.1,0.50,1.87,86,1.76,18
21,Glide,2025-10-24T13:33:57.410Z,99,117,71,89,45,1.96,4.32,20.4,29.2,7,28.9,27.5,0.61,1.65,84,1.96,23
22,Glide,2025-10-24T13:33:58.736Z,83,129,51,83,52,1.60,0.37,25.5,27.6,32,27.3,18.9,0.37,2.54,91,1.60,12
23,Glide,2025-10-24T13:33:59.950Z,112,134,56,97,58,1.67,0.54,10.5,27.4,25,27.3,26.8,0.46,2.40,92,1.67,12
24,Glide,2025-10-24T13:34:01.154Z,87,112,42,72,49,1.46,0.88,1.4,1.8,26,16.0,16.8,0.34,2.67,87,1.46,17
25,Glide,2025-10-24T13:34:02.404Z,86,113,60,73,42,1.73,2.59,2.2,6.6,9,17.3,21.5,0.51,1.88,84,1.73,22
26,Glide,2025-10-24T13:34:03.719Z,153,199,71,140,75,1.88,1.24,13.2,35.4,10,35.2,42.3,0.57,2.80,84,1.88,39
27,Glide,2025-10-24T13:34:04.962Z,114,137,66,103,62,1.66,0.96,0.9,1.7,21,14.9,27.2,0.44,2.08,96,1.66,6
28,Glide,2025-10-24T13:34:06.286Z,116,154,58,103,66,1.57,0.68,0.5,0.9,30,15.4,25.0,0.38,2.65,93,1.57,11
29,Glide,2025-10-24T13:34:07.350Z,134,149,48,90,66,1.36,0.94,7.6,21.1,31,20.3,22.8,0.34,3.10,88,1.35,20
30,Glide,2025-10-24T13:34:08.495Z,153,168,73,137,64,2.15,7.63,22.7,41.8,6,41.3,44.1,0.69,2.31,96,2.15,8
