ID,Type,Timestamp,Velocity,Distance,Duration,Peak Velocity,Avg Velocity,Peak/Avg Ratio,Acceleration,Avg Jerk,Max Jerk,Initial Velocity,Peak Acceleration,Velocity Variance,Velocity CV,Distance/Duration Ratio,Straightness %,Pause Before Release,Y Movement
1,Flick,2025-10-24T10:16:02.095Z,79,38,225,237,82,2.89,5.98,26.8,217.4,9,213.7,76.1,0.93,0.17,61,1.19,24
2,Flick,2025-10-24T10:16:04.939Z,68,136,65,60,31,1.93,1.03,6.3,15.4,7,15.3,18.3,0.59,2.09,97,1.93,4
3,Flick,2025-10-24T10:16:05.690Z,159,122,52,127,73,1.73,1.14,25.5,51.4,31,50.6,31.7,0.43,2.35,96,1.73,5
4,Flick,2025-10-24T10:16:06.585Z,148,129,55,126,65,1.94,1.63,19.3,44.9,14,44.8,41.6,0.64,2.35,97,1.94,4
5,Flick,2025-10-24T10:16:07.577Z,109,137,41,87,67,1.30,0.34,21.0,21.6,47,20.9,14.2,0.21,3.34,95,1.30,8
6,Flick,2025-10-24T10:16:08.379Z,166,137,51,143,89,1.61,0.96,15.3,27.2,51,50.2,34.6,0.39,2.68,96,1.61,6
7,Flick,2025-10-24T10:16:09.667Z,99,126,66,79,48,1.66,1.39,6.7,13.2,11,18.2,21.2,0.45,1.91,92,1.66,10
8,Flick,2025-10-24T10:16:10.541Z,134,122,46,116,73,1.60,0.68,28.6,40.5,34,40.0,29.7,0.41,2.66,94,1.60,8
9,Flick,2025-10-24T10:16:11.466Z,123,131,57,124,69,1.80,2.56,3.1,7.3,14,25.6,37.0,0.54,2.30,90,1.80,14
10,Flick,2025-10-24T10:16:12.467Z,131,129,76,119,69,1.72,1.36,12.3,29.1,13,28.5,33.9,0.49,1.70,90,1.72,15
11,Flick,2025-10-24T10:16:13.349Z,150,130,74,135,73,1.85,4.87,12.2,42.5,10,42.4,43.6,0.60,1.76,91,1.85,12
12,Flick,2025-10-24T10:16:14.356Z,108,103,47,77,50,1.52,0.89,25.1,37.5,21,37.3,25.2,0.50,2.18,85,1.51,18
13,Flick,2025-10-24T10:16:15.481Z,120,131,64,108,66,1.64,0.90,0.8,1.4,24,14.9,28.0,0.42,2.05,85,1.64,23
14,Flick,2025-10-24T10:16:16.332Z,177,153,76,135,84,1.61,1.08,4.9,21.8,22,20.7,39.7,0.47,2.01,90,1.60,17
15,Flick,2025-10-24T10:16:17.300Z,113,113,69,100,57,1.76,1.66,1.6,3.9,9,19.2,29.7,0.52,1.64,86,1.76,18
16,Glide,2025-10-24T10:16:18.561Z,216,292,89,191,92,2.07,4.50,15.2,29.7,9,42.7,66.1,0.72,3.28,92,1.92,27
17,Glide,2025-10-24T10:16:19.314Z,413,357,101,368,156,2.36,2.05,41.0,97.9,14,100.3,111.5,0.72,3.54,96,2.36,16
18,Glide,2025-10-24T10:16:19.915Z,548,316,98,493,228,2.16,2.52,92.2,117.9,44,115.2,148.1,0.65,3.22,91,1.91,31
19,Glide,2025-10-24T10:16:20.509Z,510,329,96,516,261,1.98,1.55,74.4,115.5,53,110.1,153.1,0.59,3.43,93,1.88,27
20,Glide,2025-10-24T10:16:21.186Z,460,308,83,410,210,1.95,1.88,5.0,7.5,34,55.2,123.2,0.59,3.71,91,1.95,30
21,Glide,2025-10-24T10:16:21.988Z,372,293,93,371,181,2.05,2.95,30.2,82.2,26,81.3,120.3,0.66,3.15,90,1.94,32
22,Glide,2025-10-24T10:16:22.806Z,294,239,91,239,131,1.83,1.78,33.7,64.7,20,62.9,76.9,0.59,2.62,96,1.81,9
23,Glide,2025-10-24T10:16:23.559Z,2521,284,127,2365,319,7.41,2.07,230.3,2066.6,26,2064.9,597.7,1.87,2.24,87,4.18,42
24,Glide,2025-10-24T10:16:24.206Z,455,280,98,423,198,2.14,2.68,32.2,52.6,31,90.1,126.9,0.64,2.86,90,2.04,32
25,Glide,2025-10-24T10:16:24.844Z,411,267,102,378,194,1.95,0.87,30.3,80.0,62,75.9,104.4,0.54,2.62,94,1.75,18
26,Glide,2025-10-24T10:16:25.546Z,358,256,88,326,165,1.98,1.71,22.6,77.6,40,76.0,96.1,0.58,2.91,92,1.87,22
27,Glide,2025-10-24T10:16:26.227Z,2088,248,112,375,214,1.75,1.58,37.9,73.5,58,70.9,112.9,0.53,2.21,95,1.71,14
28,Glide,2025-10-24T10:16:26.944Z,301,211,98,303,134,2.26,2.09,24.6,77.7,24,75.0,92.4,0.69,2.15,94,1.98,13
29,Glide,2025-10-24T10:16:27.676Z,428,307,96,381,208,1.83,1.76,45.3,86.8,56,84.8,119.4,0.57,3.20,91,1.74,32
30,Glide,2025-10-24T10:16:28.509Z,356,291,73,347,188,1.85,0.94,26.5,99.5,61,97.0,89.3,0.48,3.98,88,1.85,38
