ID,Type,Timestamp,Velocity,Distance,Duration,Peak Velocity,Avg Velocity,Peak/Avg Ratio,Acceleration,Avg Jerk,Max Jerk,Initial Velocity,Peak Acceleration,Velocity Variance,Velocity CV,Distance/Duration Ratio,Straightness %,Pause Before Release,Y Movement
1,Flick,2025-10-24T18:13:00.792Z,2066,289,116,2219,344,6.46,0.95,361.6,2048.3,7,2048.3,769.1,2.24,2.49,76,6.25,90
2,Flick,2025-10-24T18:13:01.748Z,2184,236,122,2052,268,7.65,2.25,174.7,1817.8,6,1815.9,500.6,1.87,1.93,88,4.27,34
3,Flick,2025-10-24T18:13:02.681Z,230,207,97,223,120,1.85,1.95,16.7,43.2,26,42.2,66.0,0.55,2.14,92,1.79,19
4,Flick,2025-10-24T18:13:03.598Z,2138,250,116,281,162,1.73,1.42,18.9,32.0,41,55.1,81.3,0.50,2.16,76,1.70,81
5,Flick,2025-10-24T18:13:04.547Z,2199,260,114,279,162,1.72,1.72,32.1,57.4,30,55.9,83.1,0.51,2.28,76,1.69,80
6,Flick,2025-10-24T18:13:05.537Z,1898,272,139,2068,477,4.33,2.02,262.3,1734.1,35,1732.5,744.2,1.56,1.95,86,4.23,44
7,Flick,2025-10-24T18:13:06.608Z,2157,273,123,2077,291,7.14,1.19,167.2,1834.6,41,1832.7,500.1,1.72,2.22,82,3.99,59
8,Flick,2025-10-24T18:13:07.742Z,218,243,111,206,117,1.76,1.36,13.0,37.9,35,37.4,54.8,0.47,2.19,83,1.65,50
9,Flick,2025-10-24T18:13:09.007Z,2025,236,114,194,115,1.68,1.99,12.4,35.0,21,34.9,58.2,0.51,2.07,80,1.66,57
10,Flick,2025-10-24T18:13:10.223Z,172,204,97,170,87,1.95,1.27,11.6,36.4,23,35.3,50.4,0.58,2.10,80,1.83,51
11,Flick,2025-10-24T18:13:11.434Z,1695,232,130,1914,346,5.54,1.84,285.7,1818.9,31,1730.4,600.6,1.74,1.79,86,3.78,37
12,Flick,2025-10-24T18:13:12.761Z,1809,252,148,1868,479,3.90,1.58,246.2,1748.1,21,1718.1,721.7,1.51,1.70,86,3.64,40
13,Flick,2025-10-24T18:13:13.958Z,1845,248,120,1954,254,7.68,1.53,154.5,1746.9,27,1752.4,475.2,1.87,2.07,80,4.24,63
14,Flick,2025-10-24T18:13:15.116Z,1951,266,131,2199,394,5.58,2.04,317.2,2074.4,34,1984.7,693.0,1.76,2.03,77,3.82,79
15,Flick,2025-10-24T18:13:16.224Z,1915,263,129,2066,381,5.42,1.67,286.2,1794.2,36,1814.2,659.5,1.73,2.04,77,3.79,78
16,Glide,2025-10-24T18:13:39.455Z,2410,325,123,14,9,1.55,1.13,1.3,2.2,3,2.2,3.6,0.41,2.64,84,1.53,60
17,Glide,2025-10-24T18:13:41.688Z,2391,318,127,2462,244,10.09,1.21,201.3,2324.4,19,2331.2,616.3,2.53,2.50,77,5.31,96
18,Glide,2025-10-24T18:13:44.405Z,2480,241,771,2462,413,5.96,5.57,60.1,295.4,59,432.3,582.2,1.41,0.31,88,2.83,33
19,Glide,2025-10-24T18:13:46.687Z,87,187,95,82,42,1.95,0.83,7.3,23.0,12,22.8,25.1,0.59,1.97,79,1.87,48
20,Glide,2025-10-24T18:13:49.003Z,87,199,105,88,46,1.92,1.21,7.7,16.2,13,16.0,25.0,0.55,1.89,78,1.81,56
21,Glide,2025-10-24T18:13:51.119Z,1841,243,121,1916,195,9.81,1.20,154.4,1810.8,18,1810.3,478.1,2.45,2.01,82,5.18,54
22,Glide,2025-10-24T18:13:53.061Z,121,238,107,117,73,1.59,1.53,7.3,15.4,19,25.2,36.2,0.49,2.22,81,1.59,57
23,Glide,2025-10-24T18:13:55.943Z,1905,239,148,1846,434,4.25,1.87,216.7,1587.9,7,1593.2,729.7,1.68,1.61,78,4.09,66
24,Glide,2025-10-24T18:13:57.890Z,1615,270,122,2240,252,8.88,0.96,186.2,2098.0,37,2100.7,552.3,2.19,2.21,75,4.72,90
25,Glide,2025-10-24T18:13:59.720Z,1621,229,116,1785,215,8.32,1.03,155.2,1656.7,33,1661.8,454.5,2.12,1.98,78,4.45,64
26,Glide,2025-10-24T18:14:02.132Z,1799,253,137,2038,417,4.89,2.39,291.1,1955.0,13,1946.6,760.6,1.82,1.85,76,4.79,81
27,Glide,2025-10-24T18:14:04.339Z,108,240,105,103,62,1.66,1.03,5.9,17.3,22,17.0,26.7,0.43,2.28,96,1.61,9
28,Glide,2025-10-24T18:14:06.580Z,1972,262,131,2178,332,6.56,3.32,325.9,2052.3,9,2059.4,720.5,2.17,2.00,87,4.45,39
29,Glide,2025-10-24T18:14:08.575Z,112,223,96,109,67,1.64,1.88,7.4,18.8,15,18.4,33.9,0.51,2.32,78,1.60,61
30,Glide,2025-10-24T18:14:10.315Z,142,242,106,141,83,1.70,1.73,14.4,28.0,18,27.6,41.9,0.51,2.28,76,1.67,76
