Test Metadata
Name,Chisom Ogundu
Hand Span (cm),20cm
Done Before,No
Carousel Position,bottom
Holding Hand,right
Using Hands,one
Thumb Rest X,219.00
Thumb Rest Y,410.00
Device Model,iPhone
Screen Width,393
Screen Height,852
Pixel Ratio,3

User Comments
The icon flowed quite nice and seamlessly on the carousel.

ID,Type,Timestamp,Carousel,Velocity,Distance,Duration,Peak Velocity,Avg Velocity,Peak/Avg Ratio,Acceleration,Avg Jerk,Max Jerk,Initial Velocity,Peak Acceleration,Velocity Variance,Velocity CV,Distance/Duration Ratio,Straightness %,Pause Before Release,Y Movement,Touch Pressure Avg,Touch Pressure Max,Touch Pressure Variance,Trajectory Length,Path Directness,Curvature Score,Inflection Points,Device Motion X,Device Motion Y,Device Motion Z,Device Motion Variance,Is Retry,Time Since Last Gesture,Is Outlier,Outlier Reasons
1,flick,2025-11-06T15:00:46.718Z,2-column,13.03,53.00,88,10.36,6.43,1.61,0.20,0.00,0.00,1.55,0.20,10.49,0.50,0.60,98.27,0.00,10.00,0.0000,0.0000,0.0000,54.19,0.9780,0.2340,0,0.0000,0.0000,0.0000,0.0000,No,9999,No,none
2,flick,2025-11-06T15:00:47.463Z,2-column,177.34,82.00,59,103.09,69.07,1.49,1.78,0.01,0.01,36.01,1.78,750.45,0.40,1.39,99.11,0.00,11.00,0.0000,0.0000,0.0000,84.00,0.9762,0.1897,0,0.0000,0.0000,0.0000,0.0000,Yes,745,No,none
3,flick,2025-11-06T15:00:47.913Z,1-column,164.84,45.00,29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.55,92.85,0.00,18.00,0.0000,0.0000,0.0000,48.47,0.9285,0.0000,0,0.0000,0.0000,0.0000,0.0000,No,9999,No,none
4,flick,2025-11-06T15:00:48.639Z,1-column,105.40,69.00,37,24.46,24.46,1.00,0.00,0.00,0.00,24.46,0.00,0.00,0.00,1.86,94.02,0.00,25.00,0.0000,0.0000,0.0000,70.90,0.9732,0.3136,0,0.0000,0.0000,0.0000,0.0000,Yes,726,No,none
5,flick,2025-11-06T15:00:49.157Z,1-column,169.40,54.00,36,44.03,44.03,1.00,0.00,0.00,0.00,44.03,0.00,0.00,0.00,1.50,98.33,0.00,10.00,0.0000,0.0000,0.0000,55.32,0.9761,0.2915,0,0.0000,0.0000,0.0000,0.0000,Yes,517,No,none
6,flick,2025-11-06T15:00:49.638Z,1-column,312.93,77.00,34,190.48,190.48,1.00,0.00,0.00,0.00,190.48,0.00,0.00,0.00,2.26,95.82,0.00,23.00,0.0000,0.0000,0.0000,78.75,0.9777,0.2493,0,0.0000,0.0000,0.0000,0.0000,Yes,481,No,none
7,flick,2025-11-06T15:00:50.081Z,1-column,309.28,55.00,33,172.84,111.74,1.55,7.41,0.00,0.00,50.63,7.41,3733.61,0.55,1.67,96.02,0.00,16.00,0.0000,0.0000,0.0000,57.46,0.9572,0.3270,0,0.0000,0.0000,0.0000,0.0000,Yes,444,No,none
8,flick,2025-11-06T15:00:50.508Z,1-column,368.42,51.00,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.55,97.34,0.00,12.00,0.0000,0.0000,0.0000,52.39,0.9734,0.0000,0,0.0000,0.0000,0.0000,0.0000,Yes,426,No,none
9,flick,2025-11-06T15:00:50.922Z,1-column,462.50,66.00,33,316.67,316.67,1.00,0.00,0.00,0.00,316.67,0.00,0.00,0.00,2.00,96.84,0.00,17.00,0.0000,0.0000,0.0000,67.48,0.9781,0.2450,0,0.0000,0.0000,0.0000,0.0000,Yes,414,No,none
10,flick,2025-11-06T15:00:51.342Z,1-column,828.95,76.00,47,603.17,501.59,1.20,8.65,0.00,0.00,400.00,8.65,10319.98,0.20,1.62,97.01,0.00,19.00,0.0000,0.0000,0.0000,78.97,0.9624,0.3287,0,0.0000,0.0000,0.0000,0.0000,Yes,421,No,none
