Test Metadata
Name,Felix
Hand Span (cm),22
Done Before,Yes
Carousel Position,top
Holding Hand,right
Using Hands,one
Thumb Rest X,322.93
Thumb Rest Y,643.13
Device Model,K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36
Screen Width,448
Screen Height,998
Pixel Ratio,3

User Comments
2 column feels slow 

ID,Type,Timestamp,Carousel,Velocity,Distance,Duration,Peak Velocity,Avg Velocity,Peak/Avg Ratio,Acceleration,Avg Jerk,Max Jerk,Initial Velocity,Peak Acceleration,Velocity Variance,Velocity CV,Distance/Duration Ratio,Straightness %,Pause Before Release,Y Movement,Touch Pressure Avg,Touch Pressure Max,Touch Pressure Variance,Trajectory Length,Path Directness,Curvature Score,Inflection Points,Device Motion X,Device Motion Y,Device Motion Z,Device Motion Variance,Is Retry,Time Since Last Gesture,Is Outlier,Outlier Reasons
1,flick,2025-11-04T20:35:56.124Z,1-column,73.31,178.37,100,61.26,35.32,1.73,0.87,0.01,0.02,9.95,0.87,353.12,0.53,1.78,98.89,0.00,26.83,0.0000,0.0000,0.0000,180.37,0.9889,0.1182,0,0.0000,0.0000,0.0000,0.0000,No,9999,No,none
2,flick,2025-11-04T20:36:01.243Z,1-column,43.57,95.17,51,29.95,23.07,1.30,0.54,0.00,0.00,16.18,0.54,47.38,0.30,1.87,99.43,0.00,10.23,0.0000,0.0000,0.0000,95.58,0.9957,0.1075,0,0.0000,0.0000,0.0000,0.0000,No,5121,No,none
3,flick,2025-11-04T20:36:01.792Z,1-column,427.79,85.60,50,304.98,229.17,1.33,6.06,0.00,0.00,153.37,6.06,5746.54,0.33,1.71,98.47,0.00,15.13,0.0000,0.0000,0.0000,86.40,0.9908,0.1133,0,0.0000,0.0000,0.0000,0.0000,Yes,549,No,none
4,flick,2025-11-04T20:36:02.341Z,1-column,350.10,75.87,67,290.85,180.09,1.62,7.03,0.14,0.14,46.22,7.03,10241.48,0.56,1.13,98.72,0.00,12.27,0.0000,0.0000,0.0000,76.28,0.9946,0.0467,0,0.0000,0.0000,0.0000,0.0000,Yes,549,No,none
5,flick,2025-11-04T20:36:03.675Z,1-column,85.53,91.50,55,57.95,32.43,1.79,1.69,0.05,0.05,12.44,1.69,360.43,0.59,1.66,97.50,0.00,20.83,0.0000,0.0000,0.0000,94.29,0.9704,0.1898,0,0.0000,0.0000,0.0000,0.0000,Yes,1333,Yes,straightness
6,flick,2025-11-04T20:36:04.224Z,1-column,340.40,73.83,50,261.86,205.88,1.27,4.48,0.00,0.00,149.91,4.48,3133.17,0.27,1.48,97.74,0.00,15.97,0.0000,0.0000,0.0000,74.68,0.9886,0.1281,0,0.0000,0.0000,0.0000,0.0000,Yes,550,Yes,straightness
7,flick,2025-11-04T20:36:05.328Z,1-column,280.23,90.07,49,228.06,158.77,1.44,5.66,0.00,0.00,89.49,5.66,4800.31,0.44,1.84,99.85,0.00,4.87,0.0000,0.0000,0.0000,90.15,0.9991,0.0301,0,0.0000,0.0000,0.0000,0.0000,Yes,1104,No,none
8,flick,2025-11-04T20:36:05.761Z,1-column,964.11,96.70,50,909.52,743.37,1.22,13.29,0.00,0.00,577.21,13.29,27607.32,0.22,1.93,100.00,0.00,0.60,0.0000,0.0000,0.0000,96.72,0.9998,0.0163,0,0.0000,0.0000,0.0000,0.0000,Yes,433,No,none
9,flick,2025-11-04T20:36:06.161Z,1-column,1262.84,83.60,50,1085.35,690.77,1.57,31.57,0.00,0.00,296.18,31.57,155695.63,0.57,1.67,99.78,0.00,5.60,0.0000,0.0000,0.0000,83.70,0.9988,0.0342,0,0.0000,0.0000,0.0000,0.0000,Yes,400,No,none
10,flick,2025-11-04T20:36:06.595Z,1-column,778.33,78.30,50,694.94,431.05,1.61,21.11,0.00,0.00,167.17,21.11,69637.04,0.61,1.57,99.99,0.00,1.30,0.0000,0.0000,0.0000,78.31,0.9998,0.0117,0,0.0000,0.0000,0.0000,0.0000,Yes,433,No,none
11,flick,2025-11-04T20:36:07.011Z,1-column,1508.75,109.17,50,1273.15,969.91,1.31,24.26,0.00,0.00,666.67,24.26,91954.98,0.31,2.18,99.70,0.00,8.43,0.0000,0.0000,0.0000,109.34,0.9984,0.0603,0,0.0000,0.0000,0.0000,0.0000,Yes,417,No,none
12,flick,2025-11-04T20:36:07.496Z,1-column,773.72,125.33,68,608.49,360.62,1.69,14.65,0.25,0.25,70.65,14.65,49099.20,0.61,1.84,99.64,0.00,10.67,0.0000,0.0000,0.0000,125.42,0.9993,0.0235,0,0.0000,0.0000,0.0000,0.0000,Yes,484,No,none
13,flick,2025-11-04T20:36:07.894Z,1-column,1404.93,117.73,50,1333.84,1156.66,1.15,14.17,0.00,0.00,979.49,14.17,31389.31,0.15,2.35,99.88,0.00,5.67,0.0000,0.0000,0.0000,117.77,0.9997,0.0227,0,0.0000,0.0000,0.0000,0.0000,Yes,399,No,none
14,flick,2025-11-04T20:36:08.410Z,1-column,602.99,114.77,67,493.59,343.42,1.44,6.83,0.01,0.01,192.09,6.83,15151.26,0.36,1.71,99.86,0.00,6.10,0.0000,0.0000,0.0000,114.77,1.0000,2.0971,0,0.0000,0.0000,0.0000,0.0000,Yes,516,No,none
15,flick,2025-11-04T20:36:08.860Z,1-column,777.87,90.70,50,609.29,512.28,1.19,7.76,0.00,0.00,415.27,7.76,9411.13,0.19,1.81,99.96,0.00,2.43,0.0000,0.0000,0.0000,90.72,0.9998,0.0169,0,0.0000,0.0000,0.0000,0.0000,Yes,449,No,none
16,flick,2025-11-04T20:36:09.259Z,1-column,1314.46,109.10,82,1318.11,999.23,1.32,34.67,0.74,1.34,370.58,34.67,138868.65,0.37,1.33,99.44,0.00,11.57,0.0000,0.0000,0.0000,110.33,0.9888,0.0819,0,0.0000,0.0000,0.0000,0.0000,Yes,400,No,none
17,flick,2025-11-04T20:36:09.909Z,1-column,333.02,105.63,67,302.23,212.43,1.42,4.05,0.00,0.00,123.29,4.05,5336.67,0.34,1.58,98.73,0.00,16.97,0.0000,0.0000,0.0000,106.54,0.9915,0.0770,0,0.0000,0.0000,0.0000,0.0000,Yes,650,No,none
18,flick,2025-11-04T20:36:10.393Z,1-column,767.78,115.17,68,689.42,500.04,1.38,8.50,0.02,0.02,313.98,8.50,23498.50,0.31,1.69,99.30,0.00,13.70,0.0000,0.0000,0.0000,116.18,0.9913,0.0784,0,0.0000,0.0000,0.0000,0.0000,Yes,484,No,none
19,flick,2025-11-04T20:36:10.893Z,1-column,963.65,144.93,83,881.06,630.22,1.40,8.95,0.03,0.04,366.39,8.95,36740.20,0.30,1.75,99.33,0.00,16.87,0.0000,0.0000,0.0000,145.52,0.9959,0.0382,0,0.0000,0.0000,0.0000,0.0000,Yes,499,No,none
20,flick,2025-11-04T20:36:11.359Z,1-column,955.33,111.20,67,866.80,656.04,1.32,14.24,0.32,0.32,391.63,14.24,39069.53,0.30,1.66,100.00,0.00,1.03,0.0000,0.0000,0.0000,111.22,0.9998,0.0161,0,0.0000,0.0000,0.0000,0.0000,Yes,467,No,none
21,flick,2025-11-04T20:36:11.992Z,1-column,484.46,137.20,83,430.27,256.82,1.68,5.85,0.01,0.01,78.89,5.85,17167.24,0.51,1.65,99.22,0.00,17.27,0.0000,0.0000,0.0000,139.74,0.9818,0.0814,0,0.0000,0.0000,0.0000,0.0000,Yes,632,No,none
22,flick,2025-11-04T20:36:12.409Z,1-column,1396.01,116.57,67,1547.41,1281.26,1.21,19.66,0.52,0.52,928.64,19.66,67550.67,0.20,1.74,99.01,0.00,16.53,0.0000,0.0000,0.0000,117.58,0.9914,0.0716,0,0.0000,0.0000,0.0000,0.0000,Yes,418,No,none
23,flick,2025-11-04T20:36:12.874Z,1-column,1129.52,132.27,66,1025.00,814.92,1.26,11.55,0.14,0.14,582.83,11.55,32827.38,0.22,2.00,99.58,0.00,12.10,0.0000,0.0000,0.0000,132.61,0.9974,0.0429,0,0.0000,0.0000,0.0000,0.0000,Yes,465,No,none
24,flick,2025-11-04T20:36:14.428Z,2-column,49.77,60.73,50,31.46,18.30,1.72,1.05,0.00,0.00,5.14,1.05,173.21,0.72,1.21,99.98,0.00,1.33,0.0000,0.0000,0.0000,60.74,0.9999,0.0110,0,0.0000,0.0000,0.0000,0.0000,No,9999,No,none
25,flick,2025-11-04T20:36:14.978Z,2-column,278.21,65.90,50,205.67,123.91,1.66,6.54,0.00,0.00,42.14,6.54,6684.99,0.66,1.32,99.15,0.00,8.63,0.0000,0.0000,0.0000,66.25,0.9947,0.1237,0,0.0000,0.0000,0.0000,0.0000,Yes,550,No,none
26,flick,2025-11-04T20:36:15.478Z,2-column,426.66,71.17,50,374.11,285.93,1.31,7.05,0.00,0.00,197.75,7.05,7775.92,0.31,1.42,99.52,0.00,7.00,0.0000,0.0000,0.0000,71.30,0.9981,0.0473,0,0.0000,0.0000,0.0000,0.0000,Yes,500,No,none
27,flick,2025-11-04T20:36:15.994Z,2-column,611.91,109.57,50,489.02,414.80,1.18,5.94,0.00,0.00,340.57,5.94,5509.58,0.18,2.19,98.22,0.00,20.93,0.0000,0.0000,0.0000,109.62,0.9995,0.0339,0,0.0000,0.0000,0.0000,0.0000,Yes,516,Yes,straightness
28,flick,2025-11-04T20:36:16.611Z,2-column,338.73,101.57,67,252.09,152.64,1.65,5.86,0.09,0.09,37.43,5.86,7803.79,0.58,1.52,97.26,0.00,24.27,0.0000,0.0000,0.0000,103.33,0.9829,0.1778,0,0.0000,0.0000,0.0000,0.0000,Yes,617,Yes,straightness
29,flick,2025-11-04T20:36:17.094Z,2-column,595.79,89.67,50,422.66,332.41,1.27,7.22,0.00,0.00,242.17,7.22,8144.21,0.27,1.79,98.37,0.00,16.37,0.0000,0.0000,0.0000,91.05,0.9848,0.1537,0,0.0000,0.0000,0.0000,0.0000,Yes,483,No,none
30,flick,2025-11-04T20:36:17.762Z,2-column,237.81,93.13,55,161.50,87.12,1.85,5.04,0.16,0.16,30.85,5.04,3009.14,0.63,1.69,99.80,0.00,5.90,0.0000,0.0000,0.0000,93.39,0.9973,0.0496,0,0.0000,0.0000,0.0000,0.0000,Yes,667,No,none
31,flick,2025-11-04T20:36:18.361Z,2-column,344.52,101.27,50,236.02,192.01,1.23,3.52,0.00,0.00,147.99,3.52,1936.99,0.23,2.03,99.48,0.00,10.37,0.0000,0.0000,0.0000,102.22,0.9907,0.1667,0,0.0000,0.0000,0.0000,0.0000,Yes,599,No,none
32,flick,2025-11-04T20:36:19.409Z,2-column,144.71,107.77,49,98.38,77.91,1.26,1.67,0.00,0.00,57.44,1.67,419.09,0.26,2.20,99.57,0.00,10.07,0.0000,0.0000,0.0000,108.22,0.9958,0.0950,0,0.0000,0.0000,0.0000,0.0000,Yes,1048,No,none
33,flick,2025-11-04T20:36:19.976Z,2-column,420.83,103.80,67,347.43,233.95,1.49,6.69,0.11,0.11,102.55,6.69,10155.14,0.43,1.55,99.14,0.00,13.70,0.0000,0.0000,0.0000,103.82,0.9998,0.0220,0,0.0000,0.0000,0.0000,0.0000,Yes,568,No,none
34,flick,2025-11-04T20:36:20.575Z,2-column,323.97,92.43,49,244.38,174.35,1.40,5.72,0.00,0.00,104.32,5.72,4904.46,0.40,1.89,99.48,0.00,9.43,0.0000,0.0000,0.0000,92.45,0.9999,0.0159,0,0.0000,0.0000,0.0000,0.0000,Yes,599,No,none
35,flick,2025-11-04T20:36:21.158Z,2-column,395.37,99.00,83,356.30,216.65,1.64,5.53,0.05,0.08,66.23,5.53,11389.20,0.49,1.19,99.26,0.00,12.10,0.0000,0.0000,0.0000,99.46,0.9954,0.0601,0,0.0000,0.0000,0.0000,0.0000,Yes,583,No,none
36,flick,2025-11-04T20:36:21.708Z,2-column,345.00,74.93,51,275.07,220.09,1.25,4.31,0.00,0.00,165.12,4.31,3022.04,0.25,1.47,99.96,0.00,2.23,0.0000,0.0000,0.0000,74.94,1.0000,0.0060,0,0.0000,0.0000,0.0000,0.0000,Yes,550,No,none
37,flick,2025-11-04T20:36:22.292Z,2-column,233.77,64.90,51,156.44,90.35,1.73,5.18,0.00,0.00,24.26,5.18,4367.65,0.73,1.27,99.56,0.00,6.10,0.0000,0.0000,0.0000,65.08,0.9972,0.0560,0,0.0000,0.0000,0.0000,0.0000,Yes,584,No,none
38,flick,2025-11-04T20:36:22.891Z,2-column,263.90,66.13,66,236.26,154.10,1.53,5.29,0.11,0.11,54.83,5.29,5632.32,0.49,1.00,97.51,0.00,15.03,0.0000,0.0000,0.0000,69.50,0.9516,0.3536,0,0.0000,0.0000,0.0000,0.0000,Yes,598,Yes,straightness
39,flick,2025-11-04T20:36:23.374Z,2-column,454.63,68.47,51,403.09,343.97,1.17,4.64,0.00,0.00,284.86,4.64,3494.51,0.17,1.34,100.00,0.00,0.20,0.0000,0.0000,0.0000,68.47,1.0000,0.0024,0,0.0000,0.0000,0.0000,0.0000,Yes,484,No,none
40,flick,2025-11-04T20:36:23.890Z,2-column,637.36,106.57,83,571.65,413.35,1.38,8.11,0.10,0.14,211.75,8.11,18164.44,0.33,1.28,99.54,0.00,10.27,0.0000,0.0000,0.0000,106.83,0.9975,0.0462,0,0.0000,0.0000,0.0000,0.0000,Yes,516,No,none
41,flick,2025-11-04T20:36:25.008Z,2-column,133.84,120.87,86,106.43,67.85,1.57,1.72,0.02,0.02,21.22,1.72,1015.72,0.47,1.41,99.85,0.00,6.70,0.0000,0.0000,0.0000,121.09,0.9981,0.0697,0,0.0000,0.0000,0.0000,0.0000,Yes,1118,No,none
42,flick,2025-11-04T20:36:25.590Z,2-column,471.04,109.80,83,451.11,294.56,1.53,8.22,0.10,0.16,95.38,8.22,17520.69,0.45,1.32,99.78,0.00,7.30,0.0000,0.0000,0.0000,109.84,0.9997,0.0208,0,0.0000,0.0000,0.0000,0.0000,Yes,581,No,none
43,flick,2025-11-04T20:36:26.189Z,2-column,445.59,112.47,84,370.94,220.11,1.69,7.72,0.09,0.16,31.35,7.72,15820.10,0.57,1.34,99.54,0.00,10.87,0.0000,0.0000,0.0000,112.76,0.9974,0.0471,0,0.0000,0.0000,0.0000,0.0000,Yes,600,No,none
44,flick,2025-11-04T20:36:26.739Z,2-column,524.58,119.63,84,449.81,309.34,1.45,6.39,0.06,0.08,140.57,6.39,13342.18,0.37,1.42,99.72,0.00,8.93,0.0000,0.0000,0.0000,119.95,0.9974,0.0461,0,0.0000,0.0000,0.0000,0.0000,Yes,550,No,none
45,flick,2025-11-04T20:36:27.371Z,2-column,331.45,107.27,67,261.16,175.16,1.49,4.09,0.03,0.03,94.42,4.09,4647.38,0.39,1.60,99.99,0.00,1.73,0.0000,0.0000,0.0000,107.35,0.9992,2.1198,0,0.0000,0.0000,0.0000,0.0000,Yes,632,No,none
46,flick,2025-11-04T20:36:27.972Z,2-column,275.79,73.33,51,217.19,177.69,1.22,3.10,0.00,0.00,138.18,3.10,1560.69,0.22,1.44,99.97,0.00,1.93,0.0000,0.0000,0.0000,73.34,0.9998,3.1258,0,0.0000,0.0000,0.0000,0.0000,Yes,601,No,none
