Test Metadata
Name,Joana
Hand Span (cm),18
Done Before,Yes
Carousel Position,top
Holding Hand,right
Using Hands,one
Thumb Rest X,297.00
Thumb Rest Y,459.00
Device Model,iPhone
Screen Width,430
Screen Height,932
Pixel Ratio,3

User Comments
No comments provided

ID,Type,Timestamp,Carousel,Velocity,Distance,Duration,Peak Velocity,Avg Velocity,Peak/Avg Ratio,Acceleration,Avg Jerk,Max Jerk,Initial Velocity,Peak Acceleration,Velocity Variance,Velocity CV,Distance/Duration Ratio,Straightness %,Pause Before Release,Y Movement,Touch Pressure Avg,Touch Pressure Max,Touch Pressure Variance,Trajectory Length,Path Directness,Curvature Score,Inflection Points,Device Motion X,Device Motion Y,Device Motion Z,Device Motion Variance,Is Retry,Time Since Last Gesture,Is Outlier,Outlier Reasons
1,flick,2025-11-06T16:17:32.300Z,1-column,78.91,189.00,81,61.84,36.95,1.67,1.31,0.02,0.02,6.76,1.31,519.74,0.62,2.33,93.28,0.00,73.00,0.0000,0.0000,0.0000,199.42,0.9477,0.3454,0,0.0000,0.0000,0.0000,0.0000,No,9999,No,none
2,flick,2025-11-06T16:17:33.115Z,1-column,68.67,59.00,32,30.70,30.70,1.00,0.00,0.00,0.00,30.70,0.00,0.00,0.00,1.84,96.51,0.00,16.00,0.0000,0.0000,0.0000,59.77,0.9871,0.1927,0,0.0000,0.0000,0.0000,0.0000,Yes,816,No,none
3,flick,2025-11-06T16:17:34.297Z,1-column,427.35,205.00,232,1346.53,505.27,2.66,63.57,0.76,3.99,32.15,63.57,212377.62,0.91,0.88,89.88,0.00,100.00,0.0000,0.0000,0.0000,230.19,0.8906,0.1210,0,0.0000,0.0000,0.0000,0.0000,Yes,1181,Yes,straightness
4,flick,2025-11-06T16:17:35.043Z,1-column,41.77,67.00,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.09,98.17,0.00,13.00,0.0000,0.0000,0.0000,68.25,0.9817,0.0000,0,0.0000,0.0000,0.0000,0.0000,Yes,746,No,none
5,flick,2025-11-06T16:17:35.945Z,1-column,1178.22,148.00,129,277.67,164.43,1.69,3.17,0.04,0.09,29.55,3.17,8299.21,0.55,1.15,93.94,0.00,54.00,0.0000,0.0000,0.0000,157.86,0.9376,0.9496,1,0.0000,0.0000,0.0000,0.0000,Yes,902,No,none
6,flick,2025-11-06T16:17:36.541Z,1-column,38.76,35.00,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.92,95.40,0.00,11.00,0.0000,0.0000,0.0000,36.69,0.9540,0.0000,0,0.0000,0.0000,0.0000,0.0000,Yes,597,No,none
7,flick,2025-11-06T16:17:37.555Z,1-column,25.26,39.00,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.25,99.71,0.00,3.00,0.0000,0.0000,0.0000,39.12,0.9971,0.0000,0,0.0000,0.0000,0.0000,0.0000,Yes,1014,No,none
8,flick,2025-11-06T16:17:38.254Z,1-column,202.86,73.00,43,155.22,96.13,1.61,5.50,0.00,0.00,37.04,5.50,3492.03,0.61,1.70,99.77,0.00,5.00,0.0000,0.0000,0.0000,73.19,0.9974,0.0959,0,0.0000,0.0000,0.0000,0.0000,Yes,699,No,none
9,flick,2025-11-06T16:17:38.804Z,1-column,241.38,62.00,51,157.61,126.71,1.24,2.42,0.00,0.00,95.81,2.42,954.82,0.24,1.22,98.96,0.00,9.00,0.0000,0.0000,0.0000,62.88,0.9861,0.2178,0,0.0000,0.0000,0.0000,0.0000,Yes,550,No,none
10,flick,2025-11-06T16:17:39.353Z,1-column,301.98,63.00,45,201.09,152.57,1.32,4.31,0.00,0.00,104.05,4.31,2354.23,0.32,1.40,98.51,0.00,11.00,0.0000,0.0000,0.0000,64.35,0.9790,0.2263,0,0.0000,0.0000,0.0000,0.0000,Yes,549,No,none
