ID,Type,Timestamp,Velocity,Distance,Duration,Peak Velocity,Avg Velocity,Peak/Avg Ratio,Acceleration,Avg Jerk,Max Jerk,Initial Velocity,Peak Acceleration,Velocity Variance,Velocity CV,Distance/Duration Ratio,Straightness %,Pause Before Release,Y Movement
1,Flick,2025-10-24T13:35:51.512Z,966,130,127,1083,140,7.73,1.72,173.8,1176.3,1,1077.9,350.9,2.51,1.02,78,4.93,37
2,Flick,2025-10-24T13:35:52.193Z,112,73,74,113,77,1.48,1.12,8.5,12.2,22,25.6,27.8,0.36,0.99,75,1.48,24
3,Flick,2025-10-24T13:35:53.025Z,112,89,72,110,69,1.60,0.99,9.9,24.9,15,34.9,26.4,0.38,1.23,89,1.60,11
4,Flick,2025-10-24T13:35:53.809Z,122,93,90,113,73,1.55,1.35,11.8,29.5,29,29.2,29.7,0.41,1.03,84,1.49,18
5,Flick,2025-10-24T13:35:54.784Z,84,93,91,84,44,1.91,1.64,10.5,29.8,6,29.5,24.1,0.55,1.03,83,1.78,19
6,Flick,2025-10-24T13:35:55.785Z,105,106,74,96,57,1.68,0.91,6.0,11.8,19,18.8,22.5,0.39,1.43,90,1.68,11
7,Flick,2025-10-24T13:35:56.849Z,98,112,89,99,61,1.63,1.53,6.3,27.5,15,27.4,28.1,0.46,1.26,73,1.56,42
8,Flick,2025-10-24T13:35:57.664Z,122,101,82,113,74,1.54,0.70,17.1,29.9,21,29.3,29.7,0.40,1.24,83,1.52,21
9,Flick,2025-10-24T13:35:58.564Z,91,86,82,78,46,1.70,0.94,13.3,18.5,13,18.1,21.6,0.47,1.05,72,1.70,34
10,Flick,2025-10-24T13:35:59.521Z,536,90,129,726,139,5.23,1.11,112.7,792.8,28,634.8,202.5,1.46,0.70,84,3.33,17
11,Flick,2025-10-24T13:36:00.416Z,77,65,58,62,43,1.43,2.32,4.5,9.1,11,17.5,18.4,0.43,1.13,85,1.42,12
12,Flick,2025-10-24T13:36:01.378Z,93,87,89,93,55,1.71,1.81,9.4,17.0,16,18.6,27.5,0.50,0.98,80,1.65,22
13,Flick,2025-10-24T13:36:02.261Z,123,110,87,124,73,1.71,1.49,7.2,14.3,19,21.4,36.0,0.49,1.26,83,1.65,23
14,Flick,2025-10-24T13:36:03.119Z,141,118,98,139,98,1.43,0.77,7.4,29.7,45,41.9,32.7,0.33,1.21,82,1.35,26
15,Flick,2025-10-24T13:36:03.910Z,123,95,89,123,73,1.70,2.40,4.2,9.9,8,22.2,36.3,0.50,1.07,76,1.70,30
16,Glide,2025-10-24T13:36:26.260Z,7,163,98,6,3,2.09,0.86,0.5,1.6,1,1.6,1.8,0.57,1.67,80,1.96,41
17,Glide,2025-10-24T13:36:27.084Z,1076,248,199,1654,740,2.23,5.21,186.4,1264.6,41,1282.5,695.7,0.94,1.25,70,1.90,105
18,Glide,2025-10-24T13:36:27.951Z,1229,260,205,1781,771,2.31,4.43,181.4,1096.6,44,1095.0,710.2,0.92,1.27,69,1.90,117
19,Glide,2025-10-24T13:36:29.229Z,1491,189,120,1657,194,8.55,1.45,140.3,1503.3,18,1508.7,408.4,2.11,1.57,67,4.66,93
20,Glide,2025-10-24T13:36:30.425Z,1783,214,116,179,89,2.01,1.23,15.9,34.1,22,33.2,50.4,0.57,1.84,79,1.92,58
21,Glide,2025-10-24T13:36:31.398Z,1773,245,137,2108,469,4.49,2.12,281.7,1985.2,28,1877.2,740.4,1.58,1.79,70,4.27,104
22,Glide,2025-10-24T13:36:32.181Z,270,220,90,239,129,1.85,0.79,12.4,39.5,43,38.8,65.7,0.51,2.45,82,1.85,49
23,Glide,2025-10-24T13:36:33.048Z,1994,235,129,2060,355,5.80,2.55,261.6,1687.5,23,1685.2,638.7,1.80,1.82,79,3.90,61
24,Glide,2025-10-24T13:36:34.017Z,1658,200,124,1624,191,8.52,1.18,126.4,1400.4,19,1443.1,400.1,2.10,1.61,82,4.73,43
25,Glide,2025-10-24T13:36:34.936Z,208,194,102,210,122,1.71,1.98,14.6,25.2,14,46.4,65.1,0.53,1.90,97,1.71,6
26,Glide,2025-10-24T13:36:35.893Z,278,164,97,258,128,2.01,1.61,22.6,56.3,29,54.5,71.7,0.56,1.69,89,1.80,21
27,Glide,2025-10-24T13:36:36.837Z,1409,178,112,177,96,1.84,0.75,9.8,30.9,37,29.9,43.1,0.45,1.59,92,1.75,16
28,Glide,2025-10-24T13:36:37.849Z,166,170,102,154,80,1.91,1.12,15.2,33.8,25,32.7,41.4,0.52,1.67,84,1.83,33
29,Glide,2025-10-24T13:36:38.780Z,1775,219,123,1716,222,7.72,1.76,139.3,1518.7,15,1516.6,418.9,1.88,1.78,84,4.31,42
30,Glide,2025-10-24T13:36:39.621Z,1815,219,116,259,132,1.97,1.02,18.1,51.3,39,49.8,73.5,0.56,1.89,87,1.91,33
